split,t,n_users,n_active_films,rs,hit_rate,hit_rate_at_1,gini,gini_our,entropy,aplt,jain,fsat,minskew,maxskew,coverage,hr_gap_gender,hr_gap_age,ndcg_gap_gender,u_val_gender,u_over_gender,u_under_gender,u_val_age,u_over_age,u_under_age
70%,7,4870,3633,NextItem_k10,1.0,1.0,0.7834921453383407,0.7817202415732422,0.8354256482962245,0.13127217435377597,0.12778427659512512,0.342691990090834,-4.018345450543245,24.0247853162128,0.5268373245251858,0.0,0.0,0.0268770525745049,,,,,,
80%,8,5400,3662,Popularity,0.0489,0.0587037037037037,0.9931634909076198,0.9958292622836795,0.42699497225233907,0.0045,0.006887255686854423,0.021026761332605132,-5.331266316487833,25.716825530259193,0.03986892408519935,0.015615843733043942,0.04556034009539261,0.012668304802135561,,,,,,
80%,8,5400,3662,CF,0.0396,0.043333333333333335,0.9053465420636365,0.9066225421390882,0.7491742419960816,0.03833333333333333,0.09255019943606295,0.15647187329328235,-3.349280110958915,25.716825530259193,0.272801747678864,0.009255968529571362,0.04217735184597177,0.007794708269090147,0.3314,0.2318,0.0996,0.6526,0.4099,0.2427
80%,8,5400,3662,Random,0.0057,0.004629629629629629,0.15292180957582377,0.1422901048990061,0.9954254192445389,0.38761111111111113,0.9307649662707055,0.598580010922993,-0.7747613024841148,1.5923623116172938,1.0,0.001214053174172545,0.006428755950843266,0.0001305428261482236,,,,,,
80%,8,5400,3662,FairnessExp,0.0067,0.007592592592592593,0.012848473815158686,0.0,0.9999462995952183,,0.9991294416597423,1.0,-0.01707560079013999,0.051917270696335324,1.0,0.00044831795984807445,0.007373409614891982,0.0008153584200538996,,,,,,
80%,8,5400,3662,NextItem_k10,1.0,1.0,0.7758732540772004,0.7751002389886363,0.8390695678560978,0.13609172482552342,0.12975303894246987,0.3517203713817586,-4.022866765635054,24.033422085698493,0.5442381212452212,0.0,0.0,0.030176097867828044,,,,,,
90%,9,6011,3678,Popularity,0.0422,0.04990850108135086,0.9930851803413879,0.9957336114958911,0.4288445068320944,0.0057893861254367,0.006975192170625591,0.020935290918977705,-5.329454228246716,25.819658020815517,0.04241435562805873,0.008383956226888804,0.03897306498351824,0.006285724870652834,,,,,,
90%,9,6011,3678,CF,0.0338,0.036266844119114953,0.9036260964016577,0.9047727699940591,0.7515135736854506,0.04010979870237897,0.09431403818587125,0.15715062533985863,-3.3525221667940515,25.819658020815517,0.2811310494834149,0.005105366572516271,0.030028321754496382,0.0031105784601944964,0.3224,0.2277,0.0947,0.6464,0.4045,0.2418
90%,9,6011,3678,Random,0.0046,0.0033272334054233904,0.14549402767031513,0.13391387110585695,0.9958565004461221,0.43114290467476296,0.9371524203132436,0.5625339858618814,-0.7027004705944506,1.695194802173617,1.0,4.172636347510479e-05,0.004575052649415409,0.000670181859549882,,,,,,
90%,9,6011,3678,FairnessExp,0.0049,0.004990850108135086,0.013791065844574055,0.0,0.9999489281501251,,0.999156866187913,1.0,-0.0394062531870383,0.02121836862902882,1.0,0.0007270866592983755,0.0033669370812035894,0.0008823432560741526,,,,,,
90%,9,6011,3678,NextItem_k10,1.0,1.0,0.7793162580211337,0.7783761313512232,0.8371114841214102,0.13953488372093023,0.13001663932140703,0.35943447525829253,-3.7962684702309444,24.065864366661785,0.5475802066340403,0.0,0.0,0.04004129771906928,,,,,,
100%,10,6040,3706,Popularity,,,0.9924702022494398,0.9950923054336855,0.43956490602299464,0.005778145695364239,0.007404027245457657,0.024284943335132217,-5.292601226057841,25.816886907024195,0.0528872099298435,,,,,,,,,
100%,10,6040,3706,CF,,,0.8992397150852565,0.9003909644923475,0.7572153737613934,0.03998344370860927,0.10005621610516485,0.164328116567728,-3.229987372266032,25.816886907024195,0.28656233135456016,,,,0.2994,0.2101,0.0893,0.6183,0.3882,0.2301
100%,10,6040,3706,Random,,,0.14294323148786825,0.13216274511426893,0.9960077916660078,0.4439072847682119,0.93934920341449,0.5574743658931463,-0.6429512274046351,1.4047416159388464,1.0,,,,,,,,,
100%,10,6040,3706,FairnessExp,,,0.012833171910236845,0.0,0.999952475612698,,0.999213206698372,1.0,-0.042177366978361344,0.01844725483770579,1.0,,,,,,,,,
100%,10,6040,3706,NextItem_k10,,,,,,,,,,,,,,,,,,,,
